tahun,kuartal,jenis_pengeluaran,nilai
1990,"Q1","Konsumsi - Rumah Tangga",25144.3
1990,"Q1","Konsumsi - Pemerintah",5049.4
1990,"Q1","Pembentukan Modal Tetap Domestik Bruto",10342
1990,"Q1","Perubahan Inventori",9119.9
1990,"Q1","Ekspor Barang dan Jasa",12392.1
1990,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-12089.3
1990,"Q2","Konsumsi - Rumah Tangga",29250.9
1990,"Q2","Konsumsi - Pemerintah",4584
1990,"Q2","Pembentukan Modal Tetap Domestik Bruto",9006.1
1990,"Q2","Perubahan Inventori",9215.1
1990,"Q2","Ekspor Barang dan Jasa",12139.5
1990,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-12514
1990,"Q3","Konsumsi - Rumah Tangga",32100.9
1990,"Q3","Konsumsi - Pemerintah",4562.3
1990,"Q3","Pembentukan Modal Tetap Domestik Bruto",22184.3
1990,"Q3","Perubahan Inventori",-3840.5
1990,"Q3","Ekspor Barang dan Jasa",14519
1990,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-14661.4
1990,"Q4","Konsumsi - Rumah Tangga",28196.8
1990,"Q4","Konsumsi - Pemerintah",4757.1
1990,"Q4","Pembentukan Modal Tetap Domestik Bruto",18175.3
1990,"Q4","Perubahan Inventori",1993.8
1990,"Q4","Ekspor Barang dan Jasa",16801.2
1990,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-15562.6
1991,"Q1","Konsumsi - Rumah Tangga",30639.4
1991,"Q1","Konsumsi - Pemerintah",5615.7
1991,"Q1","Pembentukan Modal Tetap Domestik Bruto",17047.7
1991,"Q1","Perubahan Inventori",6125
1991,"Q1","Ekspor Barang dan Jasa",15485.6
1991,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-15976.3
1991,"Q2","Konsumsi - Rumah Tangga",33072.9
1991,"Q2","Konsumsi - Pemerintah",5164.9
1991,"Q2","Pembentukan Modal Tetap Domestik Bruto",16867.7
1991,"Q2","Perubahan Inventori",6110.6
1991,"Q2","Ekspor Barang dan Jasa",16863
1991,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-16879.5
1991,"Q3","Konsumsi - Rumah Tangga",36651
1991,"Q3","Konsumsi - Pemerintah",5830.5
1991,"Q3","Pembentukan Modal Tetap Domestik Bruto",17378.1
1991,"Q3","Perubahan Inventori",4539.7
1991,"Q3","Ekspor Barang dan Jasa",17662.5
1991,"Q3","Impor Barang dan Jasa (dalam angka negatif)",-16994.7
1991,"Q4","Konsumsi - Rumah Tangga",37106.1
1991,"Q4","Konsumsi - Pemerintah",6219
1991,"Q4","Pembentukan Modal Tetap Domestik Bruto",18906.1
1991,"Q4","Perubahan Inventori",1696.1
1991,"Q4","Ekspor Barang dan Jasa",18440.4
1991,"Q4","Impor Barang dan Jasa (dalam angka negatif)",-17602.8
1992,"Q1","Konsumsi - Rumah Tangga",31911.3
1992,"Q1","Konsumsi - Pemerintah",6628.2
1992,"Q1","Pembentukan Modal Tetap Domestik Bruto",17550.3
1992,"Q1","Perubahan Inventori",10181
1992,"Q1","Ekspor Barang dan Jasa",17639.3
1992,"Q1","Impor Barang dan Jasa (dalam angka negatif)",-17269.1
1992,"Q2","Konsumsi - Rumah Tangga",34332.5
1992,"Q2","Konsumsi - Pemerintah",6060.5
1992,"Q2","Pembentukan Modal Tetap Domestik Bruto",18781.3
1992,"Q2","Perubahan Inventori",9349.6
1992,"Q2","Ekspor Barang dan Jasa",18984.5
1992,"Q2","Impor Barang dan Jasa (dalam angka negatif)",-18743.9
